SuperHero,SuperPower,IssueResolution
Deathstroke,Enhanced Senses,Medical (COVID-19)
Deathstroke,Reflexes,Miscellaneous
Deathstroke,Toxin and Disease Resistance,Medical (COVID-19)
Dementor,Agility,Large Scale Conflict
Dementor,Super Strength,Infrastructure Improvements
Demogoblin,Agility,Large Scale Conflict
Demogoblin,Super Strength,Infrastructure Improvements
Demogoblin,Telepathy,Education Improvements
Demogoblin,Stamina,Medical (COVID-19)
Demogoblin,Super Speed,Medical (COVID-19)
Demogoblin,Magic,Miscellaneous
Demogoblin,Reflexes,Miscellaneous
Demogoblin,Natural Weapons,Large Scale Conflict
Destroyer,Super Strength,Infrastructure Improvements
Destroyer,Energy Blasts,Infrastructure Improvements
Destroyer,Size Changing,Infrastructure Improvements
Destroyer,Molecular Manipulation,Medical (COVID-19)
Destroyer,Levitation,Infrastructure Improvements
Diamondback,Marksmanship,Large Scale Conflict
Diamondback,Weapons Master,Large Scale Conflict
Doc Samson,Durability,Medical (COVID-19)
Doc Samson,Super Strength,Infrastructure Improvements
Doc Samson,Stamina,Medical (COVID-19)
Doctor Doom,Durability,Medical (COVID-19)
Doctor Doom,Flight,Infrastructure Improvements
Doctor Doom,Super Strength,Infrastructure Improvements
Doctor Doom,Energy Blasts,Infrastructure Improvements
Doctor Doom,Stamina,Medical (COVID-19)
Doctor Doom,Astral Travel,Drug Addiction
Doctor Doom,Super Speed,Medical (COVID-19)
Doctor Doom,Weapon-based Powers,Large Scale Conflict
Doctor Doom,Electrokinesis,Infrastructure Improvements
Doctor Doom,Teleportation,Medical (COVID-19)
Doctor Doom,Magic,Miscellaneous
Doctor Doom,Dimensional Travel,Miscellaneous
Doctor Doom,Summoning,Miscellaneous
Doctor Doom,Force Fields,Large Scale Conflict
Doctor Doom,Time Travel,Medical (COVID-19)
Doctor Doom II,Flight,Infrastructure Improvements
Doctor Doom II,Super Strength,Infrastructure Improvements
Doctor Doom II,Energy Blasts,Infrastructure Improvements
Doctor Doom II,Force Fields,Large Scale Conflict
Doctor Doom II,Psionic Powers,Drug Addiction
Doctor Fate,Accelerated Healing,Medical (COVID-19)
Doctor Fate,Dimensional Awareness,Education Improvements
Doctor Fate,Flight,Infrastructure Improvements
Doctor Fate,Longevity,Medical (COVID-19)
Doctor Fate,Super Strength,Infrastructure Improvements
Doctor Fate,Telepathy,Education Improvements
Doctor Fate,Energy Blasts,Infrastructure Improvements
Doctor Fate,Super Speed,Medical (COVID-19)
Doctor Fate,Teleportation,Medical (COVID-19)
Doctor Fate,Telekinesis,Infrastructure Improvements
Doctor Fate,Dimensional Travel,Miscellaneous
Doctor Fate,Phasing,Infrastructure Improvements
Doctor Fate,Astral Projection,Drug Addiction
Doctor Fate,Energy Constructs,Infrastructure Improvements
Doctor Fate,Mind Control,Education Improvements
Doctor Fate,Molecular Manipulation,Medical (COVID-19)
Doctor Fate,Illusions,Drug Addiction
Doctor Fate,Energy Resistance,Large Scale Conflict
Doctor Fate,Magnetism,Infrastructure Improvements
Doctor Fate,Time Manipulation,Medical (COVID-19)
Doctor Fate,Invisibility,Miscellaneous
Doctor Fate,Resurrection,Medical (COVID-19)
Doctor Octopus,Agility,Large Scale Conflict
Doctor Octopus,Marksmanship,Large Scale Conflict
Doctor Octopus,Intelligence,Education Improvements
Doctor Octopus,Super Strength,Infrastructure Improvements
Doctor Octopus,Stamina,Medical (COVID-19)
Doctor Octopus,Super Speed,Medical (COVID-19)
Doctor Octopus,Weapon-based Powers,Large Scale Conflict
Doctor Octopus,Technopath/Cyberpath,Infrastructure Improvements
Doctor Octopus,Power Suit,Large Scale Conflict
Doctor Octopus,Wallcrawling,Infrastructure Improvements
Doctor Poison,Intelligence,Education Improvements
Doctor Poison,Toxin and Disease Control,Medical (COVID-19)
Doctor Strange,Dimensional Awareness,Education Improvements
Doctor Strange,Flight,Infrastructure Improvements
Doctor Strange,Longevity,Medical (COVID-19)
Doctor Strange,Telepathy,Education Improvements
Doctor Strange,Energy Blasts,Infrastructure Improvements
Doctor Strange,Teleportation,Medical (COVID-19)
Doctor Strange,Telekinesis,Infrastructure Improvements
Doctor Strange,Magic,Miscellaneous
Doctor Strange,Dimensional Travel,Miscellaneous
Doctor Strange,Phasing,Infrastructure Improvements
Doctor Strange,Astral Projection,Drug Addiction
Doctor Strange,Summoning,Miscellaneous
Doctor Strange,Force Fields,Large Scale Conflict
Doctor Strange,Hypnokinesis,Drug Addiction
Doctor Strange,Intangibility,Infrastructure Improvements
Doctor Strange,Banish,Medical (COVID-19)
Doctor Strange,Time Travel,Medical (COVID-19)
Doctor Strange,Illusions,Drug Addiction
Doctor Strange,Time Manipulation,Medical (COVID-19)
Doctor Strange,Invisibility,Miscellaneous
Domino,Agility,Large Scale Conflict
Domino,Marksmanship,Large Scale Conflict
Domino,Reflexes,Miscellaneous
Domino,Probability Manipulation,Medical (COVID-19)
Donatello,Agility,Large Scale Conflict
Donatello,Accelerated Healing,Medical (COVID-19)
Donatello,Stealth,Miscellaneous
Donatello,Marksmanship,Large Scale Conflict
Donatello,Weapons Master,Large Scale Conflict
Donatello,Stamina,Medical (COVID-19)
Donatello,Jump,Miscellaneous
Donatello,Natural Armor,Large Scale Conflict
Donatello,Sub-Mariner,Climate Change
Donna Troy,Flight,Infrastructure Improvements
Donna Troy,Super Strength,Infrastructure Improvements
Donna Troy,Super Speed,Medical (COVID-19)
Doomsday,Agility,Large Scale Conflict
Doomsday,Accelerated Healing,Medical (COVID-19)
Doomsday,Cold Resistance,Miscellaneous
Doomsday,Durability,Medical (COVID-19)
Doomsday,Energy Absorption,Climate Change
Doomsday,Super Strength,Infrastructure Improvements
Doomsday,Stamina,Medical (COVID-19)
Doomsday,Super Speed,Medical (COVID-19)
Doomsday,Jump,Miscellaneous
Doomsday,Reflexes,Miscellaneous
Doomsday,Invulnerability,Medical (COVID-19)
Doomsday,Self-Sustenance,Medical (COVID-19)
Doomsday,Power Absorption,Miscellaneous
Doomsday,Natural Armor,Large Scale Conflict
Doomsday,Adaptation,Large Scale Conflict
Doomsday,Regeneration,Medical (COVID-19)
Doomsday,Heat Resistance,Infrastructure Improvements
Doomsday,Natural Weapons,Large Scale Conflict
Doomsday,Energy Resistance,Large Scale Conflict
Doomsday,Resurrection,Medical (COVID-19)
Doppelganger,Agility,Large Scale Conflict
Doppelganger,Accelerated Healing,Medical (COVID-19)
Doppelganger,Super Strength,Infrastructure Improvements
Doppelganger,Stamina,Medical (COVID-19)
Doppelganger,Super Speed,Medical (COVID-19)
Doppelganger,Shapeshifting,Miscellaneous
Doppelganger,Reflexes,Miscellaneous
Doppelganger,Natural Weapons,Large Scale Conflict
Doppelganger,Wallcrawling,Infrastructure Improvements
Dormammu,Power Augmentation,Medical (COVID-19)
Dormammu,Super Strength,Infrastructure Improvements
Dormammu,Telepathy,Education Improvements
Dormammu,Size Changing,Infrastructure Improvements
Dormammu,Stamina,Medical (COVID-19)
Dormammu,Super Speed,Medical (COVID-19)
Dormammu,Darkforce Manipulation,Miscellaneous
Dormammu,Teleportation,Medical (COVID-19)
Dormammu,Magic,Miscellaneous
Dormammu,Dimensional Travel,Miscellaneous
Dormammu,Shapeshifting,Miscellaneous
Dormammu,Immortality,Medical (COVID-19)
Dormammu,Molecular Manipulation,Medical (COVID-19)
Dr Manhattan,Accelerated Healing,Medical (COVID-19)
Dr Manhattan,Durability,Medical (COVID-19)
Dr Manhattan,Energy Absorption,Climate Change
Dr Manhattan,Flight,Infrastructure Improvements
Dr Manhattan,Longevity,Medical (COVID-19)
Dr Manhattan,Intelligence,Education Improvements
Dr Manhattan,Super Strength,Infrastructure Improvements
Dr Manhattan,Energy Blasts,Infrastructure Improvements
Dr Manhattan,Duplication,Medical (COVID-19)
Dr Manhattan,Size Changing,Infrastructure Improvements
Dr Manhattan,Density Control,Climate Change
Dr Manhattan,Super Speed,Medical (COVID-19)
Dr Manhattan,Teleportation,Medical (COVID-19)
Dr Manhattan,Telekinesis,Infrastructure Improvements
Dr Manhattan,Immortality,Medical (COVID-19)
Dr Manhattan,Phasing,Infrastructure Improvements
Dr Manhattan,Invulnerability,Medical (COVID-19)
Dr Manhattan,Energy Constructs,Infrastructure Improvements
Dr Manhattan,Force Fields,Large Scale Conflict
Dr Manhattan,Self-Sustenance,Medical (COVID-19)
Dr Manhattan,Precognition,Medical (COVID-19)
Dr Manhattan,Intangibility,Infrastructure Improvements
Dr Manhattan,Molecular Manipulation,Medical (COVID-19)
Dr Manhattan,Energy Manipulation,Infrastructure Improvements
Dr Manhattan,Time Travel,Medical (COVID-19)
Dr Manhattan,Omnilingualism,Education Improvements
Dr Manhattan,Time Manipulation,Medical (COVID-19)
Dr Manhattan,Matter Absorption,Miscellaneous
Dr Manhattan,Molecular Dissipation,Miscellaneous
Drax the Destroyer,Agility,Large Scale Conflict
Drax the Destroyer,Accelerated Healing,Medical (COVID-19)
Drax the Destroyer,Cold Resistance,Miscellaneous
Drax the Destroyer,Durability,Medical (COVID-19)
Drax the Destroyer,Weapons Master,Large Scale Conflict
Drax the Destroyer,Super Strength,Infrastructure Improvements
Drax the Destroyer,Stamina,Medical (COVID-19)
Drax the Destroyer,Enhanced Senses,Medical (COVID-19)
Drax the Destroyer,Self-Sustenance,Medical (COVID-19)
Drax the Destroyer,Heat Resistance,Infrastructure Improvements
Drax the Destroyer,Enhanced Smell,Miscellaneous
Ego,Energy Absorption,Climate Change
Ego,Super Strength,Infrastructure Improvements
Ego,Super Speed,Medical (COVID-19)
Elastigirl,Agility,Large Scale Conflict
Elastigirl,Durability,Medical (COVID-19)
Elastigirl,Super Strength,Infrastructure Improvements
Elastigirl,Size Changing,Infrastructure Improvements
Elastigirl,Shapeshifting,Miscellaneous
Elastigirl,Invulnerability,Medical (COVID-19)
Elastigirl,Elasticity,Infrastructure Improvements
Electro,Super Speed,Medical (COVID-19)
Electro,Electrokinesis,Infrastructure Improvements
Electro,Electrical Transport,Infrastructure Improvements
Elektra,Agility,Large Scale Conflict
Elektra,Stealth,Miscellaneous
Elektra,Danger Sense,Large Scale Conflict
Elektra,Marksmanship,Large Scale Conflict
Elektra,Weapons Master,Large Scale Conflict
Elektra,Intelligence,Education Improvements
Elektra,Telepathy,Education Improvements
Elektra,Peak Human Condition,Medical (COVID-19)
Elektra,Hypnokinesis,Drug Addiction
Elektra,Telepathy Resistance,Miscellaneous
Elle Bishop,Electrokinesis,Infrastructure Improvements
Elongated Man,Agility,Large Scale Conflict
Elongated Man,Durability,Medical (COVID-19)
Elongated Man,Size Changing,Infrastructure Improvements
Elongated Man,Shapeshifting,Miscellaneous
Elongated Man,Elasticity,Infrastructure Improvements
Emma Frost,Durability,Medical (COVID-19)
Emma Frost,Super Strength,Infrastructure Improvements
Emma Frost,Telepathy,Education Improvements
Emma Frost,Density Control,Climate Change
Emma Frost,Stamina,Medical (COVID-19)
Emma Frost,Possession,Miscellaneous
Emma Frost,Camouflage,Large Scale Conflict
Emma Frost,Astral Projection,Drug Addiction
Emma Frost,Psionic Powers,Drug Addiction
Emma Frost,Mind Control,Education Improvements
Emma Frost,Natural Armor,Large Scale Conflict
Emma Frost,Illusions,Drug Addiction
Emma Frost,Telepathy Resistance,Miscellaneous
Emma Frost,Mind Control Resistance,Miscellaneous
Enchantress,Accelerated Healing,Medical (COVID-19)
Enchantress,Durability,Medical (COVID-19)
Enchantress,Flight,Infrastructure Improvements
Enchantress,Super Strength,Infrastructure Improvements
Enchantress,Teleportation,Medical (COVID-19)
Enchantress,Enhanced Senses,Medical (COVID-19)
Enchantress,Magic,Miscellaneous
Enchantress,Element Control,Climate Change
Enchantress,Phasing,Infrastructure Improvements
Enchantress,Fire Control,Climate Change
Enchantress,Reflexes,Miscellaneous
Enchantress,Energy Constructs,Infrastructure Improvements
Enchantress,Intangibility,Infrastructure Improvements
Enchantress,Illusions,Drug Addiction
Energy,Flight,Infrastructure Improvements
Energy,Electrokinesis,Infrastructure Improvements
Energy,Energy Manipulation,Infrastructure Improvements
Ethan Hunt,Agility,Large Scale Conflict
Ethan Hunt,Durability,Medical (COVID-19)
Ethan Hunt,Stealth,Miscellaneous
Ethan Hunt,Marksmanship,Large Scale Conflict
Ethan Hunt,Weapons Master,Large Scale Conflict
Ethan Hunt,Intelligence,Education Improvements
Ethan Hunt,Stamina,Medical (COVID-19)
Ethan Hunt,Reflexes,Miscellaneous
Etrigan,Accelerated Healing,Medical (COVID-19)
Etrigan,Durability,Medical (COVID-19)
Etrigan,Super Strength,Infrastructure Improvements
Etrigan,Energy Blasts,Infrastructure Improvements
Etrigan,Enhanced Senses,Medical (COVID-19)
Etrigan,Magic,Miscellaneous
Etrigan,Jump,Miscellaneous
Etrigan,Immortality,Medical (COVID-19)
Etrigan,Precognition,Medical (COVID-19)
Etrigan,Natural Weapons,Large Scale Conflict
Evil Deadpool,Agility,Large Scale Conflict
Evil Deadpool,Accelerated Healing,Medical (COVID-19)
Evil Deadpool,Dimensional Awareness,Education Improvements
Evil Deadpool,Stealth,Miscellaneous
Evil Deadpool,Marksmanship,Large Scale Conflict
Evil Deadpool,Weapons Master,Large Scale Conflict
Evil Deadpool,Longevity,Medical (COVID-19)
Evil Deadpool,Stamina,Medical (COVID-19)
Evil Deadpool,Weapon-based Powers,Large Scale Conflict
Evil Deadpool,Teleportation,Medical (COVID-19)
Evil Deadpool,Immortality,Medical (COVID-19)
Evil Deadpool,Reflexes,Miscellaneous
Evil Deadpool,Regeneration,Medical (COVID-19)
Evil Deadpool,Toxin and Disease Resistance,Medical (COVID-19)
Evil Deadpool,Telepathy Resistance,Miscellaneous
Evil Deadpool,Mind Control Resistance,Miscellaneous
Evilhawk,Accelerated Healing,Medical (COVID-19)
Evilhawk,Durability,Medical (COVID-19)
Evilhawk,Flight,Infrastructure Improvements
Evilhawk,Super Strength,Infrastructure Improvements
Evilhawk,Energy Blasts,Infrastructure Improvements
Evilhawk,Weapon-based Powers,Large Scale Conflict
Evilhawk,Force Fields,Large Scale Conflict
Evilhawk,Power Suit,Large Scale Conflict
Evilhawk,Vision - Telescopic,Large Scale Conflict
Evilhawk,Vision - Infrared,Miscellaneous
Exodus,Accelerated Healing,Medical (COVID-19)
Exodus,Flight,Infrastructure Improvements
Exodus,Telepathy,Education Improvements
Exodus,Energy Blasts,Infrastructure Improvements
Exodus,Teleportation,Medical (COVID-19)
Exodus,Telekinesis,Infrastructure Improvements
Exodus,Astral Projection,Drug Addiction
Exodus,Psionic Powers,Drug Addiction
Exodus,Mind Blast,Education Improvements
Exodus,Regeneration,Medical (COVID-19)
Exodus,Illusions,Drug Addiction
Exodus,Resurrection,Medical (COVID-19)
Fabian Cortez,Power Augmentation,Medical (COVID-19)
Falcon,Flight,Infrastructure Improvements
Falcon,Telepathy,Education Improvements
Falcon,Animal Oriented Powers,Miscellaneous
Falcon,Gliding,Miscellaneous
Fallen One II,Accelerated Healing,Medical (COVID-19)
Fallen One II,Durability,Medical (COVID-19)
Fallen One II,Energy Absorption,Climate Change
Fallen One II,Flight,Infrastructure Improvements
Fallen One II,Super Strength,Infrastructure Improvements
Fallen One II,Telepathy,Education Improvements
Fallen One II,Energy Blasts,Infrastructure Improvements
Fallen One II,Size Changing,Infrastructure Improvements
Fallen One II,Super Speed,Medical (COVID-19)
Fallen One II,Darkforce Manipulation,Miscellaneous
Fallen One II,Enhanced Senses,Medical (COVID-19)
Fallen One II,Phasing,Infrastructure Improvements
Fallen One II,Invulnerability,Medical (COVID-19)
Fallen One II,Self-Sustenance,Medical (COVID-19)
Fallen One II,Gravity Control,Large Scale Conflict
Fallen One II,Energy Manipulation,Infrastructure Improvements
Fallen One II,Time Travel,Medical (COVID-19)
Fallen One II,Illusions,Drug Addiction
Faora,Accelerated Healing,Medical (COVID-19)
Faora,Durability,Medical (COVID-19)
Faora,Energy Absorption,Climate Change
Faora,Flight,Infrastructure Improvements
Faora,Longevity,Medical (COVID-19)
Faora,Intelligence,Education Improvements
Faora,Super Strength,Infrastructure Improvements
Faora,Stamina,Medical (COVID-19)
Faora,Super Speed,Medical (COVID-19)
Faora,Enhanced Senses,Medical (COVID-19)
Faora,Jump,Miscellaneous
Faora,Invulnerability,Medical (COVID-19)
Faora,Enhanced Hearing,Large Scale Conflict
Faora,Hypnokinesis,Drug Addiction
Faora,Vision - Telescopic,Large Scale Conflict
Faora,Vision - Microscopic,Medical (COVID-19)
Faora,Super Breath,Medical (COVID-19)
Faora,Vision - Heat,Infrastructure Improvements
Faora,Vision - X-Ray,Medical (COVID-19)
Feral,Agility,Large Scale Conflict
Feral,Accelerated Healing,Medical (COVID-19)
Feral,Super Strength,Infrastructure Improvements
Feral,Super Speed,Medical (COVID-19)
Feral,Animal Oriented Powers,Miscellaneous
Feral,Enhanced Senses,Medical (COVID-19)
Feral,Jump,Miscellaneous
Feral,Reflexes,Miscellaneous
Feral,Natural Weapons,Large Scale Conflict
Fighting Spirit,Flight,Infrastructure Improvements
Fighting Spirit,Super Strength,Infrastructure Improvements
Fighting Spirit,Invulnerability,Medical (COVID-19)
Fin Fang Foom,Accelerated Healing,Medical (COVID-19)
Fin Fang Foom,Durability,Medical (COVID-19)
Fin Fang Foom,Flight,Infrastructure Improvements
Fin Fang Foom,Longevity,Medical (COVID-19)
Fin Fang Foom,Super Strength,Infrastructure Improvements
Fin Fang Foom,Telepathy,Education Improvements
Fin Fang Foom,Stamina,Medical (COVID-19)
Fin Fang Foom,Possession,Miscellaneous
Fin Fang Foom,Shapeshifting,Miscellaneous
Fin Fang Foom,Substance Secretion,Medical (COVID-19)
Fire,Flight,Infrastructure Improvements
Fire,Fire Control,Climate Change
Fire,Intangibility,Infrastructure Improvements
Firebird,Flight,Infrastructure Improvements
Firebird,Energy Blasts,Infrastructure Improvements
Firebird,Immortality,Medical (COVID-19)
Firebird,Fire Control,Climate Change
Firebird,Fire Resistance,Large Scale Conflict
Firebird,Energy Manipulation,Infrastructure Improvements
Firebird,Heat Resistance,Infrastructure Improvements
Firelord,Durability,Medical (COVID-19)
Firelord,Flight,Infrastructure Improvements
Firelord,Energy Blasts,Infrastructure Improvements
Firelord,Fire Control,Climate Change
Firelord,Energy Manipulation,Infrastructure Improvements
Firelord,Heat Resistance,Infrastructure Improvements
Firestar,Flight,Infrastructure Improvements
Firestar,Energy Blasts,Infrastructure Improvements
Firestar,Enhanced Senses,Medical (COVID-19)
Firestar,Heat Generation,Infrastructure Improvements
Firestar,Energy Manipulation,Infrastructure Improvements
Firestar,Energy Resistance,Large Scale Conflict
Firestorm,Durability,Medical (COVID-19)
Firestorm,Energy Absorption,Climate Change
Firestorm,Flight,Infrastructure Improvements
Firestorm,Super Strength,Infrastructure Improvements
Firestorm,Energy Blasts,Infrastructure Improvements
Firestorm,Density Control,Climate Change
Firestorm,Shapeshifting,Miscellaneous
Firestorm,Phasing,Infrastructure Improvements
Firestorm,Fire Control,Climate Change
Firestorm,Enhanced Memory,Education Improvements
Firestorm,Energy Constructs,Infrastructure Improvements
Firestorm,Self-Sustenance,Medical (COVID-19)
Firestorm,Psionic Powers,Drug Addiction
Firestorm,Molecular Manipulation,Medical (COVID-19)
Firestorm,Heat Generation,Infrastructure Improvements
Firestorm,Regeneration,Medical (COVID-19)
Firestorm,Energy Manipulation,Infrastructure Improvements
Firestorm,Heat Resistance,Infrastructure Improvements
Firestorm,Vision - Telescopic,Large Scale Conflict
Firestorm,Vision - Microscopic,Medical (COVID-19)
Firestorm,Vision - X-Ray,Medical (COVID-19)
Firestorm,Vision - Thermal,Infrastructure Improvements
Flash,Accelerated Healing,Medical (COVID-19)
Flash,Energy Absorption,Climate Change
Flash,Flight,Infrastructure Improvements
Flash,Longevity,Medical (COVID-19)
Flash,Stamina,Medical (COVID-19)
Flash,Super Speed,Medical (COVID-19)
Flash,Enhanced Senses,Medical (COVID-19)
Flash,Phasing,Infrastructure Improvements
Flash,Reflexes,Miscellaneous
Flash,Energy Constructs,Infrastructure Improvements
Flash,Self-Sustenance,Medical (COVID-19)
Flash Gordon,Marksmanship,Large Scale Conflict
Flash II,Agility,Large Scale Conflict
Flash II,Accelerated Healing,Medical (COVID-19)
Flash II,Energy Absorption,Climate Change
Flash II,Flight,Infrastructure Improvements
Flash II,Longevity,Medical (COVID-19)
Flash II,Energy Blasts,Infrastructure Improvements
Flash II,Stamina,Medical (COVID-19)
Flash II,Super Speed,Medical (COVID-19)
Flash II,Enhanced Senses,Medical (COVID-19)
Flash II,Phasing,Infrastructure Improvements
Flash II,Reflexes,Miscellaneous
Flash II,Energy Constructs,Infrastructure Improvements
Flash II,Self-Sustenance,Medical (COVID-19)
Flash II,Time Travel,Medical (COVID-19)
Flash II,Speed Force,Medical (COVID-19)
Flash III,Accelerated Healing,Medical (COVID-19)
Flash III,Flight,Infrastructure Improvements
Flash III,Longevity,Medical (COVID-19)
Flash III,Super Strength,Infrastructure Improvements
Flash III,Stamina,Medical (COVID-19)
Flash III,Super Speed,Medical (COVID-19)
Flash III,Enhanced Senses,Medical (COVID-19)
Flash III,Dimensional Travel,Miscellaneous
Flash III,Phasing,Infrastructure Improvements
Flash III,Reflexes,Miscellaneous
Flash III,Energy Constructs,Infrastructure Improvements
Flash III,Self-Sustenance,Medical (COVID-19)
Flash III,Power Absorption,Miscellaneous
Flash III,Time Travel,Medical (COVID-19)
Flash IV,Accelerated Healing,Medical (COVID-19)
Flash IV,Super Speed,Medical (COVID-19)
Flash IV,Dimensional Travel,Miscellaneous
Flash IV,Enhanced Memory,Education Improvements
Flash IV,Reflexes,Miscellaneous
Flash IV,Energy Constructs,Infrastructure Improvements
Flash IV,Time Travel,Medical (COVID-19)
Forge,Intelligence,Education Improvements
Forge,Magic,Miscellaneous
Franklin Richards,Agility,Large Scale Conflict
Franklin Richards,Dimensional Awareness,Education Improvements
Franklin Richards,Durability,Medical (COVID-19)
Franklin Richards,Flight,Infrastructure Improvements
Franklin Richards,Longevity,Medical (COVID-19)
Franklin Richards,Intelligence,Education Improvements
Franklin Richards,Super Strength,Infrastructure Improvements
Franklin Richards,Telepathy,Education Improvements
Franklin Richards,Energy Blasts,Infrastructure Improvements
Franklin Richards,Duplication,Medical (COVID-19)
Franklin Richards,Stamina,Medical (COVID-19)
Franklin Richards,Super Speed,Medical (COVID-19)
Franklin Richards,Teleportation,Medical (COVID-19)
Franklin Richards,Telekinesis,Infrastructure Improvements
Franklin Richards,Immortality,Medical (COVID-19)
Franklin Richards,Astral Projection,Drug Addiction
Franklin Richards,Invulnerability,Medical (COVID-19)
Franklin Richards,Force Fields,Large Scale Conflict
Franklin Richards,Animation,Education Improvements
Franklin Richards,Precognition,Medical (COVID-19)
Franklin Richards,Molecular Manipulation,Medical (COVID-19)
Franklin Richards,Energy Manipulation,Infrastructure Improvements
Franklin Richards,Time Travel,Medical (COVID-19)
Franklin Richards,Illusions,Drug Addiction
Franklin Richards,Omnipotent,Infrastructure Improvements
Franklin Richards,Telepathy Resistance,Miscellaneous
Franklin Richards,Time Manipulation,Medical (COVID-19)
Franklin Richards,Grim Reaping,Miscellaneous
Franklin Richards,Reality Warping,Education Improvements
Frenzy,Cold Resistance,Miscellaneous
Frenzy,Super Strength,Infrastructure Improvements
Frenzy,Stamina,Medical (COVID-19)
Frenzy,Invulnerability,Medical (COVID-19)
Frenzy,Heat Resistance,Infrastructure Improvements
Frigga,Super Strength,Infrastructure Improvements
Frigga,Magic,Miscellaneous
Galactus,Accelerated Healing,Medical (COVID-19)
Galactus,Dimensional Awareness,Education Improvements
Galactus,Durability,Medical (COVID-19)
Galactus,Energy Absorption,Climate Change
Galactus,Flight,Infrastructure Improvements
Galactus,Marksmanship,Large Scale Conflict
Galactus,Longevity,Medical (COVID-19)
Galactus,Intelligence,Education Improvements
Galactus,Super Strength,Infrastructure Improvements
Galactus,Telepathy,Education Improvements
Galactus,Energy Blasts,Infrastructure Improvements
Galactus,Size Changing,Infrastructure Improvements
Galactus,Stamina,Medical (COVID-19)
Galactus,Super Speed,Medical (COVID-19)
Galactus,Teleportation,Medical (COVID-19)
Galactus,Telekinesis,Infrastructure Improvements
Galactus,Energy Beams,Large Scale Conflict
Galactus,Dimensional Travel,Miscellaneous
Galactus,Immortality,Medical (COVID-19)
Galactus,Invulnerability,Medical (COVID-19)
Galactus,Force Fields,Large Scale Conflict
Galactus,Psionic Powers,Drug Addiction
Galactus,Molecular Manipulation,Medical (COVID-19)
Galactus,Regeneration,Medical (COVID-19)
Galactus,Levitation,Infrastructure Improvements
Galactus,Energy Manipulation,Infrastructure Improvements
Galactus,Power Cosmic,Miscellaneous
Galactus,Toxin and Disease Resistance,Medical (COVID-19)
Galactus,Portal Creation,Miscellaneous
Galactus,Grim Reaping,Miscellaneous
Galactus,Resurrection,Medical (COVID-19)
Galactus,Vitakinesis,Infrastructure Improvements
Gambit,Agility,Large Scale Conflict
Gambit,Telekinesis,Infrastructure Improvements
Gambit,Psionic Powers,Drug Addiction
Gambit,Energy Manipulation,Infrastructure Improvements
Gambit,Telepathy Resistance,Miscellaneous
Gamora,Agility,Large Scale Conflict
Gamora,Accelerated Healing,Medical (COVID-19)
Gamora,Durability,Medical (COVID-19)
Gamora,Stealth,Miscellaneous
Gamora,Marksmanship,Large Scale Conflict
Gamora,Weapons Master,Large Scale Conflict
Gamora,Intelligence,Education Improvements
Gamora,Super Strength,Infrastructure Improvements
Gamora,Stamina,Medical (COVID-19)
Gamora,Super Speed,Medical (COVID-19)
Gamora,Enhanced Senses,Medical (COVID-19)
Gamora,Reflexes,Miscellaneous
Gamora,Telepathy Resistance,Miscellaneous
Garbage Man,Accelerated Healing,Medical (COVID-19)
Gary Bell,Intelligence,Education Improvements
Gary Bell,Enhanced Senses,Medical (COVID-19)
General Zod,Accelerated Healing,Medical (COVID-19)
General Zod,Durability,Medical (COVID-19)
General Zod,Energy Absorption,Climate Change
General Zod,Flight,Infrastructure Improvements
General Zod,Longevity,Medical (COVID-19)
General Zod,Intelligence,Education Improvements
General Zod,Super Strength,Infrastructure Improvements
General Zod,Stamina,Medical (COVID-19)
General Zod,Super Speed,Medical (COVID-19)
General Zod,Enhanced Senses,Medical (COVID-19)
General Zod,Jump,Miscellaneous
General Zod,Invulnerability,Medical (COVID-19)
General Zod,Enhanced Hearing,Large Scale Conflict
General Zod,Hypnokinesis,Drug Addiction
General Zod,Vision - Telescopic,Large Scale Conflict
General Zod,Vision - Microscopic,Medical (COVID-19)
General Zod,Super Breath,Medical (COVID-19)
General Zod,Vision - Heat,Infrastructure Improvements
General Zod,Vision - X-Ray,Medical (COVID-19)
Genesis,Projection,Drug Addiction
Genesis,Psionic Powers,Drug Addiction
Ghost Rider,Agility,Large Scale Conflict
Ghost Rider,Accelerated Healing,Medical (COVID-19)
Ghost Rider,Durability,Medical (COVID-19)
Ghost Rider,Marksmanship,Large Scale Conflict
Ghost Rider,Longevity,Medical (COVID-19)
Ghost Rider,Super Strength,Infrastructure Improvements
Ghost Rider,Energy Blasts,Infrastructure Improvements
Ghost Rider,Stamina,Medical (COVID-19)
Ghost Rider,Super Speed,Medical (COVID-19)
Ghost Rider,Weapon-based Powers,Large Scale Conflict
Ghost Rider,Magic,Miscellaneous
Ghost Rider,Shapeshifting,Miscellaneous
Ghost Rider,Fire Control,Climate Change
Ghost Rider,Invulnerability,Medical (COVID-19)
Ghost Rider,Psionic Powers,Drug Addiction
Ghost Rider,Fire Resistance,Large Scale Conflict
Ghost Rider,Heat Generation,Infrastructure Improvements
Ghost Rider,Heat Resistance,Infrastructure Improvements
Ghost Rider,Magic Resistance,Miscellaneous
Ghost Rider II,Durability,Medical (COVID-19)
Ghost Rider II,Super Strength,Infrastructure Improvements
Ghost Rider II,Fire Control,Climate Change
Ghost Rider II,Fire Resistance,Large Scale Conflict
