,Name,Full_Name,Alter_Egos,Birthplace,Occupation,Image_url
187,Cottonmouth,Burchell Clemens,No alter egos found.,unknown,Professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg
188,Crimson Crusader,Rory Destine,No alter egos found.,"Ravenscroft, England",unknown,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg
189,Crimson Dynamo,Anton Vanko,No alter egos found.,unknown,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg
190,Crystal,Crystallia Amaquelin,No alter egos found.,Attilan,"Mother, adventuress",https://www.superherodb.com/pictures2/portraits/10/100/305.jpg
191,Curse,Phillip Krahn,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg
192,Cy-Gor,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg
193,Cyborg,Victor Stone,No alter egos found.,"New York City, New York","Adventurer, Teen Titan",https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg
194,Cyborg Superman,Henry Henshaw,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg
195,Cyclops,Scott Summers,No alter egos found.,"Anchorage, Alaska","Leader of mutant race, adventurer, headmaster, former student, radio announcer",https://www.superherodb.com/pictures2/portraits/10/100/50.jpg
196,Cypher,Douglas Aaron Ramsey,No alter egos found.,Place of birth unknown,"Student, Adventurer",https://www.superherodb.com/pictures2/portraits/10/100/168.jpg
197,Dagger,Tandy Bowen,No alter egos found.,"Shaker Heights, Ohio",Vigilante,https://www.superherodb.com/pictures2/portraits/10/100/51.jpg
198,Danny Cooper,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg
199,Daphne Powell,Daphne Powell,No alter egos found.,unknown,Student,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg
200,Daredevil,Matt Murdock,No alter egos found.,"New York City, New York","Adventurer, vigilante, Attorney at Law",https://www.superherodb.com/pictures2/portraits/10/100/52.jpg
201,Darkhawk,Christopher Powell,No alter egos found.,"Queens, New York",Retired Superhero,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg
202,Darkman,Peyton Westlake,No alter egos found.,unknown,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg
203,Darkseid,Uxas,No alter egos found.,unknown,Dictator of Apokolips,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg
204,Darkside,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg
205,Darkstar,Laynia Petrovna,No alter egos found.,"Minks, USSR",Occupation unknown,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg
206,Darth Maul,,No alter egos found.,Dathomir,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg
207,Darth Vader,Anakin Skywalker,No alter egos found.,Tatooine,"Sith Lord, Supreme Commander of the Imperial Fleet",https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg
208,Dash,Dashiell Robert Parr,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg
209,Data,Data,No alter egos found.,unknown,Lieutenant commander,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg
210,Dazzler,Alison Blaire,No alter egos found.,"Gardendale, Long Island, New York","Adventurer, singer, former actress, model, revolutionary",https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg
211,Deadman,Boston Brand,No alter egos found.,unknown,"Wandering Spirit, Former Circus Aerialist",https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg
212,Deadpool,Wade Wilson,"Evil Deadpool, Venompool",Canada,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others",https://www.superherodb.com/pictures2/portraits/10/100/835.jpg
213,Deadshot,Floyd Lawton,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg
214,Deathlok,Luther Manning,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg
215,Deathstroke,Slade Joseph Wilson,No alter egos found.,unknown,"Mercenary; Former Soldier, Big-Game Hunter",https://www.superherodb.com/pictures2/portraits/10/100/672.jpg
216,Demogoblin,,No alter egos found.,unknown,Demonic Redeemer,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg
217,Destroyer,,No alter egos found.,Created in Asgard,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg
218,Diamondback,Willis Stryker,No alter egos found.,unknown,Criminal,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg
219,DL Hawkins,Daniel Lawrence Hawkins,No alter egos found.,unknown,"Construction worker, Firefighter",https://www.superherodb.com/pictures2/portraits/10/100/943.jpg
220,Doc Samson,Leonard Samson,No alter egos found.,"Tulsa, Oklahoma","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",https://www.superherodb.com/pictures2/portraits/10/100/54.jpg
221,Doctor Doom,Victor von Doom,No alter egos found.,"Haasenstadt, Latveria",Monarch,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg
222,Doctor Doom II,Kristoff Vernard,No alter egos found.,"Doomstadt, Latveria",unknown,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg
223,Doctor Fate,Kent Nelson,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg
224,Doctor Octopus,Otto Octavius,No alter egos found.,"Schenectady, New York","Former atomic-research consultant, criminal mastermind",https://www.superherodb.com/pictures2/portraits/10/100/622.jpg
225,Doctor Strange,Stephen Strange,No alter egos found.,"Philadelphia, Pennsylvania","Sorcerer Supreme, retired neurosurgeon",https://www.superherodb.com/pictures2/portraits/10/100/55.jpg
226,Domino,Neena Thurman,No alter egos found.,"Project: Armageddon base, Everglades, Florida",unknown,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg
227,Donatello,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg
228,Donna Troy,Donna Hinckley Stacey Troy,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg
229,Doomsday,Doomsday,No alter egos found.,Krypton,Destroyer,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg
230,Doppelganger,,No alter egos found.,The Dimension of Manifestations,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg
231,Dormammu,Dormammu,No alter egos found.,Faltine Dimension,"Despot, conqueror",https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg
232,Dr Manhattan,Jonathan Osterman,No alter egos found.,unknown,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg
233,Drax the Destroyer,Arthur Sampson Douglas,No alter egos found.,"Burbank, California",unknown,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg
234,Ego,Ego,No alter egos found.,The Black Galaxy,Inapplicable,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg
235,Elastigirl,Helen Parr,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg
236,Electro,Maxwell Dillon,No alter egos found.,unknown,Professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg
237,Elektra,Elektra Natchios,No alter egos found.,unknown,"Assassin, adventurer, mercenary, former student, dancer",https://www.superherodb.com/pictures2/portraits/10/100/625.jpg
238,Elle Bishop,,No alter egos found.,unknown,Agent of the Company,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg
239,Elongated Man,Ralph Dibny,No alter egos found.,unknown,Detective,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg
240,Emma Frost,Emma Frost,No alter egos found.,"Boston, Massachusetts",unknown,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg
241,Enchantress,June Moone,No alter egos found.,unknown,Artist; Magician,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg
242,Energy,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg
243,ERG-1,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg
244,Ethan Hunt,Ethan Hunt,No alter egos found.,"Madison, Wisconsin, United States of America","IMF Agent, Training Officer (former), Field Agent, Field Team Leader",https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg
245,Etrigan,Jason Blood,No alter egos found.,Hell,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg
246,Evil Deadpool,Wade Wilson,"Deadpool, Venompool",unknown,"Mercenary, Assasin",https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg
247,Evilhawk,Dargin Bokk,No alter egos found.,unknown,Crimelord,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg
248,Exodus,Bennet du Paris,No alter egos found.,unknown,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader",https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg
249,Fabian Cortez,Fabian Cortez,No alter egos found.,Place of birth unknown,Unknown,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg
250,Falcon,Sam Wilson,No alter egos found.,"New York, New York","Crimefighter, (former) freelance artist",https://www.superherodb.com/pictures2/portraits/10/100/56.jpg
251,Fallen One II,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg
252,Faora,Faora Hu-Ul,No alter egos found.,unknown,Serial killer,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg
253,Feral,Maria Callasantos,No alter egos found.,Place of birth unknown,"Formerly Adventurer, Terrorist",https://www.superherodb.com/pictures2/portraits/10/100/57.jpg
254,Fighting Spirit,Carol Carter,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg
255,Fin Fang Foom,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg
256,Firebird,Bonita Juarez,No alter egos found.,"Buena Vista, New Mexico","Social worker, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/58.jpg
257,Firelord,Pyreus Kril,No alter egos found.,"Xander, planet in Tranta System, Andromeda Galaxy","Former starship captain, former herald of Galactus",https://www.superherodb.com/pictures2/portraits/10/100/59.jpg
258,Firestar,Angelica Jones,No alter egos found.,Place of birth unknown,Student,https://www.superherodb.com/pictures2/portraits/10/100/60.jpg
259,Firestorm,Jason Rusch,No alter egos found.,unknown,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,https://www.superherodb.com/pictures2/portraits/10/100/689.jpg
260,Firestorm,Ronald Raymond,No alter egos found.,unknown,Adventurer; former employee of Bun 'n Run,https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg
261,Fixer,Paul Norbert Ebersol,No alter egos found.,"Dayton, Ohio",Criminal inventor,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg
262,Flash,Jay Garrick,No alter egos found.,"Hibbardsville, Kansas","Research Scientist, part-time Director of Garrick Laboratories",https://www.superherodb.com/pictures2/portraits/10/100/891.jpg
263,Flash Gordon,Steven Gordon,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg
264,Flash II,Barry Allen,Black Racer,"Fallville, Iowa",Forensic Scientist,https://www.superherodb.com/pictures2/portraits/10/100/892.jpg
265,Flash III,Wally West,Speed Demon,"Blue Valley, Nebraska","Adventurer, Mechanic for the KCPD",https://www.superherodb.com/pictures2/portraits/10/100/690.jpg
266,Flash IV,Bartholomew Allen II,"Impulse, Kid Flash II",unknown,Police trainee,https://www.superherodb.com/pictures2/portraits/10/100/893.jpg
267,Forge,,No alter egos found.,"Unrevealed, presumably in the American West","Inventor working for the U.S. government, former soldier",https://www.superherodb.com/pictures2/portraits/10/100/62.jpg
268,Franklin Richards,Franklin  Richards,No alter egos found.,"New York, New York",Student,https://www.superherodb.com/pictures2/portraits/10/100/63.jpg
269,Franklin Storm,Dr. Franklin Storm,No alter egos found.,Place of birth unknown,Surgeon,https://www.superherodb.com/pictures2/portraits/10/100/170.jpg
270,Frenzy,Joanna Cargill,No alter egos found.,unknown,Mercenary,https://www.superherodb.com/pictures2/portraits/10/100/1108.jpg
271,Frigga,Frigga,No alter egos found.,Place of birth unknown,"Queen of Asgard, goddess of marriage",https://www.superherodb.com/pictures2/portraits/10/100/172.jpg
272,Galactus,Galan,No alter egos found.,(Galan) Taa; (Galactus) the Cosmic Egg,"Planet Devourer, Third Force of the Universe - balance between Eternity and Death, Nullifying Abraxas' Influence on the Multiverse, Third Face of the Living Tribunal - representing Equity",https://www.superherodb.com/pictures2/portraits/10/100/862.jpg
273,Gambit,Remy Etienne LeBeau,No alter egos found.,"New Orleans, Louisiana","Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois",https://www.superherodb.com/pictures2/portraits/10/100/64.jpg
274,Gamora,Gamora Zen Whoberi Ben Titan,No alter egos found.,"Planet Zen Whoberi, Silican System, Milky Way","Assassin, mercenary, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/65.jpg
275,Garbage Man,Richard Ethan Morse,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1467.jpg
276,Gary Bell,Gary Bell,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1526.jpg
277,General Zod,Dru-Zod,No alter egos found.,Krypton,unknown,https://www.superherodb.com/pictures2/portraits/10/100/837.jpg
278,Genesis,Tyler Dayspring,No alter egos found.,unknown,"Former would-be world conqueror, arms dealer, soldier, freedom fighter",https://www.superherodb.com/pictures2/portraits/10/100/1055.jpg
279,Ghost Rider,Johnny Blaze,No alter egos found.,"Waukegan, Illinois",Former stunt motorcyclist,https://www.superherodb.com/pictures2/portraits/10/100/67.jpg
280,Ghost Rider II,Daniel Ketch,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/68.jpg
281,Giant-Man,Hank Pym,"Ant-Man, Goliath, Wasp II, Yellowjacket",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/858.jpg
282,Giant-Man II,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/343.jpg
283,Giganta,Doris Zuel,No alter egos found.,unknown,"Criminal, former Scientist, Professor at Ivy University",https://www.superherodb.com/pictures2/portraits/10/100/1376.jpg
284,Gladiator,Kallark,No alter egos found.,unknown,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus,https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg
285,Goblin Queen,Madelyne Jennifer Pryor,No alter egos found.,"Created in Sinister's Labs, Nebraska",unknown,https://www.superherodb.com/pictures2/portraits/10/100/1054.jpg
286,Godzilla,Gojira,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10590.jpg
287,Gog,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/693.jpg
288,Goku,Kakarot,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1284.jpg
289,Goliath,Erik Josten,"Atlas, Power Man, Smuggler",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/845.jpg
290,Goliath,Clint Barton,"Hawkeye, Ronin",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/847.jpg
291,Goliath,Hank Pym,"Ant-Man, Giant-Man, Wasp II, Yellowjacket",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/846.jpg
292,Goliath IV,William Barrett Foster,No alter egos found.,"Watts, Los Angeles, California","Biochemist, inventor, research scientist, adventurer; (formerly) circus performer, soldier",https://www.superherodb.com/pictures2/portraits/10/100/879.jpg
293,Gorilla Grodd,Grodd,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/694.jpg
294,Granny Goodness,,No alter egos found.,Apokolips,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1344.jpg
295,Gravity,Greg Willis,No alter egos found.,"Sheboygan, Wisconsin",Student,https://www.superherodb.com/pictures2/portraits/10/100/74.jpg
296,Greedo,Greedo,No alter egos found.,Rodia,Bounty Hunter,https://www.superherodb.com/pictures2/portraits/10/100/10468.jpg
297,Green Arrow,Oliver Queen,No alter egos found.,unknown,Professional Crime-fighter; Multi-Billionaire,https://www.superherodb.com/pictures2/portraits/10/100/696.jpg
298,Green Goblin,Norman Osborn,No alter egos found.,"Hartford, Connecticut","Professional criminal, owner and president of Osborn Industries",https://www.superherodb.com/pictures2/portraits/10/100/579.jpg
299,Green Goblin II,Harold Osborn,No alter egos found.,New York City,unknown,https://www.superherodb.com/pictures2/portraits/10/100/25.jpg
300,Green Goblin III,Barton Hamilton,No alter egos found.,unknown,Psychiatrist,https://www.superherodb.com/pictures2/portraits/10/100/351.jpg
301,Green Goblin IV,Phillip Benjamin Urich,No alter egos found.,unknown,"College student, former vigilante, intern at Daily Bugle",https://www.superherodb.com/pictures2/portraits/10/100/75.jpg
302,Groot,Groot,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10017.jpg
303,Guardian,James Hudson,No alter egos found.,"London, Ontario, Canada","Engineer, government agent, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/76.jpg
304,Guy Gardner,Guy Gardner,No alter egos found.,"Baltimore, Maryland",Former High School gym teacher; former bar owner; currently Honor guard of the Green Lantern Corps,https://www.superherodb.com/pictures2/portraits/10/100/700.jpg
305,Hal Jordan,Hal Jordan,No alter egos found.,"Coast City, California","Adventurer, Air Force Test Pilot",https://www.superherodb.com/pictures2/portraits/10/100/697.jpg
306,Han Solo,Han Solo,No alter egos found.,Corellia,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10456.jpg
307,Hancock,John Hancock,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1109.jpg
308,Harley Quinn,Harley Quinn,No alter egos found.,unknown,Psychiatrist,https://www.superherodb.com/pictures2/portraits/10/100/701.jpg
309,Harry Potter,Harry James Potter,No alter egos found.,unknown,Head of the Department of Magical Law Enforcement[,https://www.superherodb.com/pictures2/portraits/10/100/10878.jpg
310,Havok,Alexander Summers,No alter egos found.,"Honolulu, Hawaii","Currently Adventurer, formerly Graduate student in geophysics",https://www.superherodb.com/pictures2/portraits/10/100/77.jpg
311,Hawk,Henry Hall,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1382.jpg
312,Hawkeye,Clint Barton,"Goliath, Ronin","Waverly, Iowa",Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/73.jpg
313,Hawkeye II,Katherine Elizabeth Bishop,No alter egos found.,"New York City, New York",Student; Adventurer; Fugitive,https://www.superherodb.com/pictures2/portraits/10/100/10043.jpg
314,Hawkgirl,Kendra Saunders,No alter egos found.,unknown,"Adventurer, Film School Student, Temp Curator of the Stonechat Museum",https://www.superherodb.com/pictures2/portraits/10/100/703.jpg
315,Hawkman,Carter Hall,No alter egos found.,unknown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/839.jpg
316,Hawkwoman,Shayera Hol,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/702.jpg
317,Hawkwoman II,Sharon Parker,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1129.jpg
318,Hawkwoman III,Shayera Thal,No alter egos found.,unknown,Police Officer,https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg
319,Heat Wave,Mick Rory,No alter egos found.,unknown,Professional Criminal,https://www.superherodb.com/pictures2/portraits/10/100/705.jpg
320,Hela,,No alter egos found.,unknown,"Asgardian Goddess of Death, former Ruler of Hel and Niffleheim",https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg
321,Hellboy,Anung Un Rama,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/813.jpg
322,Hellcat,Patricia Walker,No alter egos found.,"Centerville, CA USA","Housemaker, model, adventurer, supernatural investigator",https://www.superherodb.com/pictures2/portraits/10/100/79.jpg
323,Hellstorm,Daimon Hellstrom,No alter egos found.,"Greentown, Massachusetts","Ruler of Hell, former Demonologist, occult investigator, exorcist and priest",https://www.superherodb.com/pictures2/portraits/10/100/80.jpg
324,Hercules,Heracles,No alter egos found.,"Thebes, Greece","Adventurer, Olympian God of Strength and Labor, later Olympian God of Heroes",https://www.superherodb.com/pictures2/portraits/10/100/78.jpg
325,Hiro Nakamura,Hiro Nakamura,No alter egos found.,"Tokyo, Japan",Office worker,https://www.superherodb.com/pictures2/portraits/10/100/947.jpg
326,Hit-Girl,Mindy McCready,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1336.jpg
327,Hobgoblin,Roderick Kingsley,No alter egos found.,unknown,Fashion designer,https://www.superherodb.com/pictures2/portraits/10/100/896.jpg
328,Hollow,Monet St. Croix,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/931.jpg
329,Hope Summers,Hope Summers,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1351.jpg
330,Howard the Duck,Howard (Last name unrevealed),No alter egos found.,"New Stork, New Stork, Duckworld","Many and various, including former candidate for the United States presidency but usually unemployed",https://www.superherodb.com/pictures2/portraits/10/100/82.jpg
331,Hulk,Bruce Banner,No alter egos found.,"Dayton, Ohio","Nuclear physicist, Agent of S.H.I.E.L.D.",https://www.superherodb.com/pictures2/portraits/10/100/83.jpg
332,Human Torch,Johnny Storm,No alter egos found.,"Glenville, Long Island, New York",Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/362.jpg
333,Huntress,Helena Rosa Bertinelli,Batgirl III,unknown,Vigilante; High school English teacher,https://www.superherodb.com/pictures2/portraits/10/100/707.jpg
334,Husk,Paige Elisabeth Guthrie,No alter egos found.,"Cumberland, Kentucky","Adventurer; formerly student, activist",https://www.superherodb.com/pictures2/portraits/10/100/84.jpg
335,Hybrid,Scott Washington,No alter egos found.,"Bedford-Stuyvesant, Brooklyn, New York City",unknown,https://www.superherodb.com/pictures2/portraits/10/100/10493.jpg
336,Hydro-Man,Morris Bench,No alter egos found.,"Bronx, New York",Professional Criminal; former crewman of cargo ship,https://www.superherodb.com/pictures2/portraits/10/100/1451.jpg
337,Hyperion,Mark Milton,No alter egos found.,unknown,"Adventurer; (Formerly) Cartoonist, government agent",https://www.superherodb.com/pictures2/portraits/10/100/1286.jpg
338,Iceman,Bobby Drake,No alter egos found.,"Fort Washington, Long Island, New York","Adventurer, formerly teacher, accountant, student",https://www.superherodb.com/pictures2/portraits/10/100/816.jpg
339,Impulse,Bartholomew Allen II,"Flash IV, Kid Flash II",unknown,"Adventurer, Student",https://www.superherodb.com/pictures2/portraits/10/100/895.jpg
340,Indiana Jones,Indiana Jones,No alter egos found.,"Princeton, New Jersey",Archaeologist,https://www.superherodb.com/pictures2/portraits/10/100/10560.jpg
341,Indigo,Iroque,No alter egos found.,unknown,Leader of the Indigo Tribe,https://www.superherodb.com/pictures2/portraits/10/100/708.jpg
342,Ink,Eric Gitter,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10337.jpg
343,Invisible Woman,Susan Storm Richards,No alter egos found.,"Glenville, Long Island, New York","Member of the Fantastic Four, financial manager for Fantastic Four Inc, occasional model and actress",https://www.superherodb.com/pictures2/portraits/10/100/620.jpg
344,Iron Fist,Danny Rand,No alter egos found.,unknown,"Adventurer; formerly co-owner of Rand-Meachum, Inc., bodyguard, private investigator, research assistant, warrior",https://www.superherodb.com/pictures2/portraits/10/100/1120.jpg
345,Iron Man,Tony Stark,No alter egos found.,"Long Island, New York","Inventor, Industrialist; former United States Secretary of Defense",https://www.superherodb.com/pictures2/portraits/10/100/85.jpg
346,Iron Monger,Obadiah Stane,No alter egos found.,unknown,CEO Stane International,https://www.superherodb.com/pictures2/portraits/10/100/886.jpg
347,Isis,Adrianna Tomaz,No alter egos found.,unknown,"Adventurer, formerly First Lady of Kahndaq, former slave",https://www.superherodb.com/pictures2/portraits/10/100/1164.jpg
348,Jack Bauer,Kiefer Sutherland,No alter egos found.,"Enola, Pennsylvania",unknown,https://www.superherodb.com/pictures2/portraits/10/100/1203.jpg
349,Jack of Hearts,Jonathan Hart,No alter egos found.,"New Haven, Connecticut",Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/86.jpg
350,Jack-Jack,Jack-Jack Parr,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/871.jpg
351,James Bond,James Bond,No alter egos found.,unknown,00 Agent,https://www.superherodb.com/pictures2/portraits/10/100/10404.jpg
352,James T. Kirk,James T. Kirk,No alter egos found.,"Riverside, Iowa, Earth",Captain,https://www.superherodb.com/pictures2/portraits/10/100/10565.jpg
353,Jar Jar Binks,Jar Jar Binks,No alter egos found.,Naboo,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10563.jpg
354,Jason Bourne,Jason Bourne,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10477.jpg
355,Jean Grey,Jean Grey,"Phoenix, White Phoenix of The Crown",unknown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/814.jpg
356,Jean-Luc Picard,Jean-Luc Picard,No alter egos found.,"La Barre, France, Earth",Commanding officer USS Enterprise (NCC-1701-E),https://www.superherodb.com/pictures2/portraits/10/100/10567.jpg
357,Jennifer Kale,Jennifer Kale,No alter egos found.,"Citrusville, Florida","Sorceress, student",https://www.superherodb.com/pictures2/portraits/10/100/1321.jpg
358,Jesse Quick,Jesse Chambers,Liberty Belle II,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10544.jpg
359,Jessica Cruz,Jessica Cruz,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10650.jpg
360,Jessica Jones,Jessica Campbell Jones Cage,Power Woman,"Forrest Hills, New York City","Special Consultant to ""The Pulse"", a Daily Bugle supplement; formerly private investigator, adventurer, short-time vigilante",https://www.superherodb.com/pictures2/portraits/10/100/10403.jpg
361,Jessica Sanders,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1029.jpg
362,Jigsaw,Billy Russo,No alter egos found.,unknown,Professional mobster,https://www.superherodb.com/pictures2/portraits/10/100/887.jpg
363,Jim Powell,Jim Powell,No alter egos found.,unknown,Police Sketch Artist,https://www.superherodb.com/pictures2/portraits/10/100/1354.jpg
364,JJ Powell,JJ Powell,No alter egos found.,unknown,Student,https://www.superherodb.com/pictures2/portraits/10/100/1357.jpg
365,Johann Krauss,Johann Krauss,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1121.jpg
366,John Constantine,John Constantine,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/718.jpg
367,John Stewart,John Stewart,No alter egos found.,unknown,Architect,https://www.superherodb.com/pictures2/portraits/10/100/873.jpg
368,John Wraith,John Wraith,No alter egos found.,unknown,"Former Spy, Government Operative, Mercenary, Soldier",https://www.superherodb.com/pictures2/portraits/10/100/1314.jpg
369,Joker,Jack Napier,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/719.jpg
370,Jolt,Helen Takahama,No alter egos found.,"Ojai, California",Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/1323.jpg
371,Jubilee,Jubilation Lee,No alter egos found.,"Beverly Hills, California","Student, Adventurer",https://www.superherodb.com/pictures2/portraits/10/100/87.jpg
372,Judge Dredd,Joseph Dredd,No alter egos found.,Mega City One,Mega-City Judge,https://www.superherodb.com/pictures2/portraits/10/100/1163.jpg
